default,amount_of_loan,credit_rating,years_with_bank,rent_mortgage_own,income,age
0,1000,B,2,0,19200,24
1,6500,A,2,1,66000,28
0,2400,A,2,0,60000,36
0,10000,C,3,0,62000,24
1,4000,C,2,0,20000,28
1,5000,A,2,0,12000,27
1,6000,C,1,0,48000,23
0,5000,D,2,0,40000,21
0,4200,A,6,0,60000,29
0,12000,A,4,1,85000,22
1,3600,A,3,0,70000,27
0,6000,B,1,0,72000,25
1,4000,A,2,0,54000,27
0,13000,C,2,1,65000,22
1,1500,A,3,0,45000,24
1,4800,D,2,0,75000,24
1,1200,C,0,0,4800,22
0,7000,A,0,0,75800,23
1,12000,C,3,1,40000,23
0,10000,D,2,0,90000,21
0,2475,A,16,1,63600,23
1,7000,C,0,0,54000,28
0,10000,D,1,0,72000,38
0,7200,D,1,2,42996,25
1,7600,C,1,0,67680,25
0,1800,A,12,0,35000,29
0,7200,B,1,1,73200,32
0,2600,B,2,0,40792,35
0,7000,B,0,1,85000,23
0,12000,B,11,1,136000,32
0,7875,B,15,1,55500,36
0,6000,A,0,0,26400,22
0,4000,D,6,1,45000,31
0,6250,A,3,0,54000,23
0,10000,A,0,0,46200,22
0,4000,C,0,0,90000,28
0,17000,B,1,1,65000,26
1,12000,A,1,0,60000,30
0,3500,A,1,0,70000,23
0,18000,E,9,2,72000,25
1,16750,C,18,0,60000,23
1,25000,D,3,1,116736,23
0,2000,B,0,0,24432,22
1,2100,D,0,0,14400,33
1,4000,A,2,0,40000,25
0,13500,B,0,1,48526.8,22
1,6500,D,4,0,36000,30
1,9250,A,0,1,45896,25
0,11000,A,4,0,46000,22
0,7200,B,1,0,48000,30
1,3200,A,0,0,12000,24
0,8000,C,8,0,70000,26
0,1800,B,9,0,14400,41
0,3600,A,12,1,93000,22
1,5000,B,3,0,65004,22
0,6950,A,11,1,30000,22
1,7500,B,2,1,81000,33
1,12000,D,2,0,27000,47
1,18000,A,7,1,90000,29
1,5000,B,3,0,40040,27
0,10000,C,34,2,75000,30
0,7500,C,7,0,55000,28
1,2000,D,1,0,30972,24
0,1000,C,2,0,7000,24
1,8000,B,1,0,33996,22
1,7750,E,2,0,26000,21
0,6000,A,0,0,48000,30
0,5000,B,1,1,51600,23
0,5000,A,2,0,58979.28,26
0,10000,C,11,1,153000,33
1,3500,D,2,1,24000,25
1,9000,A,9,0,42140,21
1,9000,B,1,0,51000,37
0,14000,A,14,1,116000,28
0,10500,B,6,0,38400,33
1,11200,C,5,1,33280,21
1,12000,D,2,1,72000,26
0,12500,A,3,1,32500,25
1,8000,B,3,0,14400,22
1,25000,B,12,1,616000,28
0,10000,B,10,1,32004,22
1,14000,B,8,0,35000,28
0,12000,B,2,0,47700,31
1,5400,D,1,0,32000,22
1,5900,A,1,2,15600,33
1,1100,C,5,1,36000,30
1,2000,B,2,0,10000,24
0,12000,A,6,0,48672,23
0,15000,B,4,0,84000,26
0,5000,A,11,2,85800,34
0,10000,C,3,0,62000,24
1,6000,B,1,1,34980,25
0,5000,B,8,1,80000,46
0,12000,B,1,2,61000,23
1,3500,B,9,0,51996,24
1,6000,A,8,1,92004,25
0,5600,A,20,0,55692,21
1,5000,D,7,0,40000,35
0,13375,A,1,1,59000,22
0,25000,A,18,0,65800,31
0,20000,B,7,1,120000,29
0,15000,A,4,0,74872,29
1,2000,B,26,1,52645,25
0,6000,A,3,0,39184,28
0,5400,C,20,1,100000,23
1,9000,C,5,1,69000,28
1,10000,B,5,0,60000,24
0,10000,D,4,0,34000,28
0,7000,D,4,0,72700,25
0,9600,B,10,0,94837,24
1,25000,B,2,1,250000,26
1,20000,D,3,0,62000,24
0,9000,C,7,1,50000,21
1,22000,F,2,1,93600,25
1,5775,A,1,0,36900,23
1,13500,B,9,1,78000,24
1,2000,B,1,0,48000,24
0,14400,C,1,0,80000,23
0,14000,B,0,0,37000,26
0,7000,D,5,0,35000,21
1,5000,A,3,2,32500,27
0,12000,A,19,1,145000,22
1,3800,C,3,1,68500,32
1,12000,B,5,1,108000,32
0,10000,A,3,1,62000,33
1,5000,C,6,0,41000,21
0,6000,A,2,1,47000,27
1,4600,D,5,0,58000,23
1,2000,A,24,0,24000,41
0,14100,A,6,0,83203.68,30
1,6200,D,61,1,75000,26
0,5000,D,3,1,165000,30
0,2100,A,6,1,61000,22
1,13200,D,9,1,49800,30
1,25000,G,12,0,203000,29
0,10000,C,0,0,30000,27
1,25000,B,3,0,72000,26
0,10500,B,6,1,63400,22
0,6000,A,27,0,55000,26
0,6000,C,7,0,21812,25
1,1000,C,4,0,60000,55
0,25000,D,21,1,180000,24
0,9450,D,16,0,29000,32
0,11000,A,7,1,59000,37
0,15000,B,3,0,73500,23
0,15000,A,9,1,175000,44
0,6500,B,4,1,85000,34
1,16800,D,4,0,75000,22
0,7750,A,15,1,65000,31
0,4000,B,2,0,29120,27
0,2300,B,0,0,25920,25
1,10000,A,9,1,60000,24
0,11200,D,11,2,51300,22
0,2500,B,5,0,45000,25
0,11000,D,3,0,47500,28
1,9600,B,4,1,80004,41
1,4800,C,7,0,38400,22
1,13000,A,3,0,54000,22
0,10800,B,4,0,82600,27
1,4600,D,3,0,58800,26
1,12000,C,0,1,35280,22
0,17800,E,1,0,85000,23
0,20000,C,13,1,50000,25
0,10000,A,2,1,105000,34
1,6300,C,6,1,60000,24
1,10000,D,3,0,75000,25
1,4200,B,1,0,42499,25
0,10000,D,2,0,48000,25
1,12000,D,4,0,30000,30
0,10800,A,21,1,110000,24
0,6000,C,19,1,72000,24
0,12000,E,3,0,125004,33
0,5650,D,0,2,20000,25
1,8000,C,3,1,38213,22
0,1000,D,11,1,32000,27
0,8000,A,4,0,54996,30
0,7000,B,3,0,45000,34
1,12000,B,7,1,26000,28
0,9500,B,1,1,38400,35
1,14000,B,0,1,75000,30
0,24000,E,2,1,79996,23
0,4000,A,5,0,70000,21
1,19975,C,9,0,125000,28
1,24000,B,30,1,160000,61
1,23500,D,6,1,64800,22
0,15000,C,10,0,34800,22
0,5000,C,6,0,45600,25
0,5000,A,3,0,24000,25
1,10400,B,5,2,45000,25
0,3000,C,7,0,38400,30
0,7500,C,3,1,90000,34
1,2400,D,2,0,13440,36
0,9000,C,4,2,81000,27
1,24000,F,13,1,105900,31
0,4000,C,0,0,34200,32
0,10000,B,0,0,38000,27
0,1600,G,4,0,42000,29
0,6000,A,4,1,112445,32
1,9000,C,2,0,18500,23
0,12000,B,2,0,33600,21
0,8000,A,4,0,72000,49
1,8000,D,2,0,42000,24
0,1800,C,3,0,36129,34
1,4500,C,15,0,55000,28
0,12250,B,4,1,47540,22
1,1500,A,1,1,60000,24
0,7000,B,12,0,50000,24
0,8000,A,7,0,48000,41
1,12875,B,3,0,37760,22
0,20000,D,12,1,260000,37
1,5000,D,0,0,65000,25
1,17000,A,1,1,58000,52
0,6000,B,1,0,75000,23
1,7000,E,6,1,80000,28
0,1050,A,6,1,61000,27
1,13750,E,23,1,38644,22
0,10000,A,4,1,57664,23
1,2000,C,0,0,33000,21
0,2500,B,1,2,18000,21
0,2000,D,4,0,39000,27
0,24000,A,4,0,48000,26
1,25000,C,5,1,73476,23
0,10000,A,6,1,40000,24
1,1500,C,0,0,42000,22
1,11500,B,0,1,28800,22
1,1500,B,7,0,45000,39
1,7500,B,9,1,78955,22
0,4800,B,26,0,69000,29
0,8000,A,1,2,68000,31
0,10000,A,3,1,125000,25
1,7000,B,1,1,93000,46
0,32000,A,2,0,120000,25
0,2500,C,0,0,20640,22
1,6000,B,5,1,126000,45
1,5000,B,22,0,57000,26
0,2000,C,11,0,26500,37
0,10000,A,7,1,75000,26
0,4000,C,3,1,115000,29
1,10000,D,6,1,160000,36
0,8000,B,0,0,26000,22
1,8400,C,4,1,100000,23
1,10000,E,5,1,60000,23
0,22750,A,0,0,49404,35
0,4000,C,7,1,80000,23
1,4200,C,18,0,61512,27
1,12000,C,18,0,32000,24
0,33000,B,0,1,70000,27
1,2500,D,0,2,36000,28
0,11500,A,6,1,55000,26
0,5000,C,3,0,65000,23
1,4000,A,12,0,50582,22
0,3500,A,2,0,30720,29
0,15000,A,1,0,147000,34
1,14100,C,7,0,52000,22
0,20000,C,9,1,85000,23
1,3200,A,1,1,57000,22
1,900,C,3,0,12000,32
0,3000,A,2,0,38748,25
1,4800,E,3,0,15000,24
1,18000,C,4,0,132725.38,27
0,12000,B,5,1,112000,23
1,7200,B,4,0,45000,27
0,6000,E,2,0,36000,33
0,5000,B,8,0,74500,26
0,8000,B,3,0,36000,30
1,7000,C,5,1,74400,36
1,5500,C,1,1,24900,22
0,14000,B,0,0,42000,27
1,15600,D,21,1,87000,49
0,1925,B,0,0,30000,23
0,18000,B,5,0,84000,25
1,10000,A,4,1,61000,26
1,7500,C,1,0,40000,30
0,2000,A,0,1,67992,29
0,19550,D,0,0,130000,22
0,2500,A,3,2,26000,28
0,5000,A,1,1,100000,24
1,6000,B,2,1,44300,27
1,6500,B,6,0,21000,21
0,4000,A,6,2,33600,23
0,8000,A,6,1,125000,25
1,15450,C,7,0,120000,26
1,6000,D,2,1,56160,24
1,10000,B,12,1,36252,25
0,4800,A,1,0,27000,21
0,10000,C,13,1,75689,30
0,5000,A,2,1,80000,25
0,5000,B,24,1,93600,22
0,8000,A,18,1,65000,26
1,16000,B,14,1,61000,32
0,6000,D,0,0,71074,23
0,5000,A,6,0,60000,23
0,9000,D,3,0,70000,29
0,23000,C,0,1,120000,23
0,14000,C,31,0,78700,22
1,5000,A,4,2,18000,27
0,5500,C,1,1,9600,25
0,7000,C,3,0,36500,27
0,12000,A,2,0,64575,24
0,15000,B,4,1,67000,39
0,2800,B,7,0,24000,32
0,10800,C,2,0,55000,25
0,4800,C,5,0,39996,26
0,14500,A,11,1,64000,35
0,9600,B,2,1,55000,27
1,25000,C,11,1,73000,25
0,10000,B,1,2,55000,22
0,18000,A,1,1,48000,38
1,3000,D,5,0,60000,40
0,8400,B,7,1,28800,23
1,4000,B,2,0,39000,36
0,8000,B,3,1,54000,24
0,8000,B,25,1,109200,28
0,21000,B,17,0,110000,39
1,5000,B,4,0,38000,23
0,8000,C,5,0,55000,31
0,3600,B,0,0,110000,30
0,12000,E,3,0,50000,24
0,6000,C,0,0,33280,21
1,2300,C,4,0,68000,29
0,4075,A,0,0,19200,31
1,12375,B,2,1,39552,30
0,6350,A,0,1,36000,26
0,14500,A,11,0,100000,26
0,4200,C,6,2,48000,35
0,20000,D,27,1,121178,28
0,6925,B,6,0,25000,21
1,1000,D,0,2,17280,38
1,2000,B,4,1,55000,21
0,10000,B,16,1,32000,23
0,12000,A,4,1,70000,31
0,16750,B,4,0,33000,33
0,4000,C,4,2,15000,23
0,1050,A,6,1,61000,27
0,4000,A,17,2,25200,32
1,2500,B,2,2,20004,21
0,14000,D,4,0,46800,39
1,10000,C,0,0,44469,35
1,6000,B,2,0,46680,22
1,1000,D,20,0,48000,21
0,8000,D,3,0,60000,24
0,13000,A,0,0,90000,24
0,20000,C,3,1,160000,25
0,16000,B,13,0,90000,27
1,3000,B,0,0,13200,28
0,7125,A,1,1,36000,39
1,2500,B,7,2,15360,22
0,2050,A,16,2,50000,23
0,7600,A,13,1,100000,27
0,4800,A,6,1,35000,38
1,1600,C,3,1,28500,27
1,4800,D,4,0,63996,31
1,7475,A,3,2,53000,28
0,11000,B,8,0,45000,22
0,12000,B,1,0,60000,24
0,15600,B,0,0,69000,36
1,6000,C,0,0,35000,25
0,10000,B,2,0,165000,24
0,4500,A,0,0,36000,21
1,5000,C,2,2,32500,23
0,7200,B,2,1,105000,26
0,10000,C,5,1,39216,23
0,6000,B,7,1,39996,22
1,15000,C,31,0,75000,23
1,8000,B,4,1,62000,29
1,2500,B,4,0,70000,24
1,1500,C,3,0,40980,22
1,24000,D,5,1,135000,26
1,4500,B,21,0,62000,23
1,24175,B,9,1,95000,23
1,35000,C,16,0,70000,24
0,8000,B,14,1,42000,23
1,10000,B,4,0,36000,27
0,4200,A,5,0,30000,34
0,11200,D,5,0,42000,21
0,5000,B,3,1,54996,22
0,7300,A,5,0,50000,27
0,10000,B,7,2,60000,24
1,7000,C,2,0,14400,29
0,12000,A,3,1,72984,24
0,8000,C,16,1,60000,21
1,10000,C,0,0,60000,25
1,10000,E,1,1,60000,36
1,10000,A,8,1,96000,28
1,3200,D,3,0,18996,22
1,5000,D,4,2,33000,21
1,6000,C,2,0,48000,23
0,3600,A,9,0,32000,24
1,9700,B,1,0,56400,27
1,2050,C,23,1,33000,24
0,5000,C,0,0,48504,29
0,7500,A,5,0,38000,22
1,15000,C,8,0,31680,21
0,8000,B,0,0,27000,26
0,28000,D,8,2,140000,27
1,12000,A,2,0,30000,34
1,10000,A,23,0,70000,23
0,16525,C,9,0,70000,26
0,2400,C,4,0,67000,26
0,3000,B,10,0,58800,33
0,4000,A,4,1,115000,25
1,4500,A,8,1,28000,26
0,2000,B,1,0,80000,23
0,9000,B,3,0,74000,26
0,17000,B,11,0,96000,22
1,8000,D,4,0,62400,24
0,1400,A,8,2,8628,23
1,2400,C,5,0,99999,25
1,12800,D,2,1,141996,27
0,3000,A,11,0,67000,32
1,10800,A,38,1,51000,33
0,3000,A,7,1,16908,36
0,4000,B,1,0,78000,32
0,7400,D,2,1,71000,22
0,2200,B,8,0,70000,27
0,17000,C,5,0,37000,35
1,7000,B,7,0,44400,27
0,5000,A,1,0,52000,23
1,6000,B,3,0,39000,22
0,12000,D,16,1,62208,22
0,24000,E,0,0,53000,27
0,4800,B,19,1,108000,25
1,1600,C,2,2,57068,26
0,4200,B,2,0,31500,31
0,4000,C,0,0,48000,33
1,2400,C,2,0,30720,23
0,7500,D,15,1,105000,43
0,6000,B,0,0,90000,30
1,25000,D,1,1,101000,24
0,4800,C,0,0,65000,26
1,6400,D,5,0,75000,35
1,10000,D,6,1,75000,22
1,6000,B,1,0,48000,40
1,6500,C,1,0,40000,22
0,4500,C,2,0,39996,22
0,4800,A,6,0,89000,26
1,15000,E,11,1,170000,33
1,7500,B,0,0,40000,32
0,22000,B,5,1,100800,30
1,12000,B,3,0,75000,27
1,18000,G,16,1,300000,28
0,4000,A,1,1,15456,31
1,22000,B,0,1,72500,23
0,4500,A,4,0,53000,40
0,25000,D,4,0,55000,23
1,5000,A,1,0,40000,45
0,5200,B,2,1,36000,24
1,9800,C,7,0,50000,23
0,25000,E,0,1,150000,28
0,8650,A,13,1,60000,28
0,1500,B,2,0,15600,21
1,6000,A,4,1,71000,25
1,10000,B,4,0,42000,22
1,13000,C,12,0,24000,21
0,2000,A,0,0,12000,23
0,11700,A,9,1,77705.88,23
1,3000,A,0,0,28800,27
1,6400,D,19,1,50000,22
0,7000,C,0,0,50000,30
0,7000,A,1,1,65000,23
0,1925,B,7,2,69600,23
1,1500,A,2,0,24840,28
0,4500,A,2,0,44004,26
1,24250,D,0,0,120000,29
0,2350,A,7,0,40080,37
1,5325,B,4,0,22000,21
0,30000,A,0,0,131000,21
1,6400,C,9,0,70775,28
1,7000,A,13,1,45000,22
1,18000,B,0,0,42480,43
0,8000,E,0,1,50000,25
0,7500,B,6,0,46800,26
1,6000,E,3,0,47500,23
1,4000,C,2,0,18000,24
1,2800,F,1,0,23000,22
1,21600,D,2,1,58600,27
1,9000,E,4,0,42000,35
0,8000,B,9,1,48000,26
0,9600,B,5,0,35000,25
0,18000,D,0,0,56000,52
1,11000,B,3,1,42000,26
0,2000,A,2,0,37000,24
0,8000,B,0,0,95000,25
0,12000,B,1,0,61000,27
0,9000,A,7,1,48800,24
0,11000,A,4,0,35000,29
0,2400,B,0,1,30000,21
1,12600,B,27,2,38000,30
0,9600,A,3,2,39000,27
0,18000,B,0,1,57408,30
1,10000,C,34,0,90000,31
0,14150,B,3,0,40000,29
0,12000,A,22,1,240000,29
1,1500,D,2,0,38004,41
1,15000,B,1,0,90000,26
1,12000,B,5,1,85248,25
0,10000,B,2,1,67145,22
1,15000,A,7,0,95600,23
0,6000,A,11,1,52000,28
1,7000,A,2,0,45000,22
0,14000,A,3,0,30000,34
0,9600,A,7,0,65450,24
1,3000,C,3,0,36132,38
0,3800,C,0,0,19200,25
1,1000,A,4,1,30000,23
1,7500,D,2,0,91500,24
0,4500,B,0,0,45000,23
0,4000,C,20,2,36000,30
0,18000,A,6,0,80000,21
1,20000,B,6,0,60000,25
1,1600,D,13,0,39000,27
0,4075,A,0,0,19200,31
1,7500,D,7,1,56000,23
0,15000,B,19,0,42000,23
0,24000,D,7,1,98000,25
0,1950,B,5,2,12000,47
0,10000,A,8,1,61000,23
0,1000,B,3,2,16800,51
1,8400,C,6,1,152004,35
0,10000,A,0,1,135000,33
1,6600,A,0,2,32004,22
1,6000,A,5,0,35000,23
0,3000,A,2,0,40000,27
1,4800,B,6,0,44100,28
0,20000,A,5,1,189000,33
1,5500,B,20,0,57600,26
1,10000,A,5,1,108000,25
0,3000,A,9,0,84000,25
0,14500,A,14,2,44000,24
1,9600,C,7,0,37800,23
1,7150,D,17,0,64500,41
1,10000,A,1,1,57000,27
0,17000,D,3,0,92000,31
0,4500,A,1,1,57000,30
1,22350,E,1,2,135000,27
1,10000,B,7,0,30000,28
1,5000,B,9,1,65000,21
0,7200,D,2,0,85000,25
0,8000,B,5,0,50000,37
1,11400,E,4,1,55000,23
1,10000,A,1,0,25000,21
1,5050,C,5,1,62000,28
0,8800,A,3,0,60000,22
1,15000,C,0,1,73392,34
0,20000,B,9,1,85000,29
0,16000,C,2,0,45000,41
1,10000,G,2,1,108000,26
1,10000,C,7,2,30000,24
0,6000,D,0,0,26880,29
1,10000,B,0,1,18000,24
0,10000,A,0,0,70000,46
0,17000,D,0,0,90000,26
1,25000,D,2,0,50000,24
0,6000,B,4,1,65000,26
1,8000,D,14,1,40000,38
0,7200,A,2,1,87000,27
0,8000,A,5,1,54000,24
1,2800,D,2,0,43200,25
0,3000,A,19,1,42000,22
0,8000,B,4,1,84996,30
0,20000,G,4,0,65000,29
0,4000,B,2,0,80000,25
1,12000,A,3,0,57000,24
0,25000,F,1,1,120000,24
0,16000,A,5,0,80000,27
0,8500,B,4,0,25000,25
1,15000,D,19,0,37000,22
0,5600,C,8,0,75797,31
1,8000,C,2,0,61700,26
0,27575,B,1,1,54000,27
1,12800,D,28,0,48200,22
1,8000,D,5,1,65000,29
1,1000,B,5,0,10000,23
0,6400,C,2,0,35000,23
1,20000,E,6,1,145000,28
1,15000,C,0,0,81000,23
0,25000,D,2,0,52000,26
1,10875,C,9,0,41500,22
0,12000,A,4,0,75000,23
1,10000,B,14,2,78996,22
0,3000,B,8,0,32796,30
1,12000,D,4,1,60000,25
0,6000,A,5,2,37404,27
1,5000,C,6,1,60000,41
1,10000,D,15,1,45000,29
1,20000,D,1,0,48000,22
1,6000,B,2,1,42000,26
0,2000,C,2,0,41000,27
0,4000,A,5,1,19200,26
0,10000,B,1,1,51000,32
0,18000,D,1,0,180000,30
0,8500,B,4,1,81400,22
0,9975,D,2,0,79000,40
0,2000,A,1,2,24000,32
0,12000,D,29,0,54000,29
1,7500,D,6,1,85000,34
0,5000,D,4,0,57996,24
1,15000,B,1,0,30000,31
0,1500,A,11,1,67386,28
0,14500,C,9,1,38000,34
0,18000,B,20,1,170000,29
1,7500,B,1,0,60000,22
1,10000,B,3,0,24000,24
1,8000,D,3,0,48000,23
0,12000,C,0,0,45000,29
0,7000,C,7,1,60000,22
0,8850,B,4,1,120000,35
0,25000,E,2,0,170000,40
0,20000,B,12,0,65000,39
0,20000,A,2,1,125000,33
0,15000,B,9,0,32000,22
0,4000,A,6,0,28000,25
0,11500,A,9,1,75000,24
0,4050,A,5,0,55000,34
0,12000,A,9,1,97000,28
0,8000,B,2,2,24996,29
0,5000,A,1,0,115000,24
0,14125,A,9,2,30000,23
0,10000,D,2,0,30400,39
0,1000,B,23,1,87000,26
0,4500,B,8,0,38000,24
1,3500,B,2,0,36000,23
0,4600,B,1,0,40000,23
1,10000,E,0,0,75000,24
0,8000,C,12,0,44000,26
0,7200,B,9,0,85000,32
1,4000,C,4,2,24000,27
1,26400,D,4,1,68000,21
1,7000,C,7,2,130000,29
1,12000,C,5,0,75000,23
1,1300,C,56,0,70000,24
0,17000,C,3,0,80000,28
0,5000,C,0,0,54860,23
1,4000,B,4,0,58800,26
0,12000,B,17,1,91234.2,22
1,25000,D,1,1,100000,21
0,10000,C,1,1,44000,25
0,6000,B,2,0,48000,25
1,10000,D,9,1,62920,22
0,5000,D,0,2,20800,24
1,25000,F,5,1,265000,25
0,12000,E,17,0,104000,25
0,12000,A,3,0,95000,24
0,12000,B,2,0,30000,44
0,5400,C,1,0,50725,34
1,20000,F,7,0,62000,28
0,2000,A,4,2,16000,23
0,9000,B,0,0,52000,23
1,4750,E,0,1,31200,25
1,20000,C,12,1,140000,39
0,8500,A,3,1,78000,24
1,4000,D,5,1,25344,24
0,3000,C,0,0,36000,24
1,5000,B,4,0,36000,26
0,13250,B,4,0,35000,28
0,20000,B,9,0,52559,24
1,19600,D,13,1,67499,24
1,1000,B,6,0,28000,22
1,10000,B,1,0,50000,31
1,25000,B,28,0,55000,27
0,20000,A,4,0,66000,32
0,10000,A,14,0,28000,22
1,5000,D,9,0,21000,47
0,5000,B,0,0,38000,29
1,4200,B,5,2,21600,26
1,12000,B,2,1,180000,26
1,7100,A,2,0,50400,23
1,10000,D,2,0,35400,31
0,12000,A,0,1,64000,24
1,1600,C,0,0,38400,24
1,3000,E,0,0,10800,36
0,7200,C,9,1,60000,26
1,20500,C,2,0,38400,31
1,8000,A,1,1,65004,28
1,32000,C,7,1,60000,33
0,5000,B,2,1,284400,31
0,6500,B,0,0,30600,41
0,22000,C,5,1,60000,23
0,6000,A,11,0,41124,23
1,2000,C,1,1,79000,22
0,12500,B,4,1,125000,31
0,8400,A,1,1,62000,26
0,15000,C,18,0,60000,35
0,13750,C,0,1,160000,26
0,17200,D,6,0,90000,27
0,5000,B,1,0,40000,27
0,8500,D,3,2,50000,28
1,7500,D,2,0,28128,25
0,7500,A,47,1,83000,29
0,3000,A,4,0,49000,38
1,6200,G,1,0,19200,23
0,10000,B,4,1,29004,46
0,7000,B,2,0,27600,25
1,15000,B,0,2,70000,24
1,8600,B,45,1,50000,23
1,10000,D,7,0,50004,29
1,10000,C,3,1,30000,35
1,8000,C,9,0,35000,23
0,5000,B,5,0,71000,22
0,18500,C,2,1,52000,30
1,5500,A,6,1,48000,29
0,7200,B,18,1,40000,35
0,5000,D,4,0,57996,24
0,7750,E,3,0,41558,31
1,7500,D,5,2,67000,22
1,4750,B,13,2,22440,26
1,8000,C,1,0,35000,28
0,13000,B,20,1,51000,21
0,2500,B,6,0,26568,42
0,10000,A,5,0,53000,21
1,6000,E,4,0,91650,24
1,8500,C,2,0,45000,25
1,9500,D,4,1,36000,23
0,8450,C,2,0,100000,22
0,15000,B,2,1,60000,27
1,4000,C,2,1,52000,27
0,5500,B,5,0,24000,28
0,1000,A,6,1,98000,28
1,5000,A,19,1,59000,28
1,1600,C,2,2,12360,24
0,11450,A,7,0,40000,29
1,15000,A,11,1,45600,30
0,12000,B,3,1,75000,31
0,15000,B,4,0,60000,23
1,2000,B,8,2,55308,42
1,5000,C,4,0,28000,23
0,12000,B,6,1,75000,24
1,16000,D,3,0,91200,24
0,5000,B,2,1,130000,27
0,11400,C,3,1,96000,22
1,6850,B,3,0,53000,22
1,12000,B,2,0,55000,32
1,8000,C,4,0,45000,24
1,5000,B,0,2,25000,27
0,2000,A,3,1,132000,26
1,18000,C,7,1,98000,22
0,6300,A,5,1,69930,33
1,20000,D,2,1,120000,39
0,2500,E,7,0,27024,25
0,5000,B,31,0,41000,25
1,10250,B,4,1,80000,36
1,11000,D,1,1,52500,29
0,1200,A,5,2,36000,34
1,15000,E,14,0,71000,24
1,5000,C,1,0,40000,28
1,6000,C,11,1,85000,22
1,15000,D,1,0,65004,25
0,3600,C,0,1,75996,40
0,3725,B,8,1,27302.4,22
0,10000,A,17,0,84996,33
1,14075,B,2,0,27996,21
1,5000,C,2,1,48000,35
1,18500,A,0,0,85000,24
0,21000,B,5,1,70000,22
1,9600,C,9,1,74400,43
1,4500,B,0,0,54300,22
1,16000,C,2,0,45000,24
0,18000,F,0,2,101300,27
